token,tag
find me three tube bundles elements,sentence
select,O
humidifiers,B_mep_obj
elements,O
select humidifiers elements,sentence
pick,O
twelve,B_quantity
water,B_mep_obj
boilers,I_mep_obj
pick twelve water boilers,sentence
for,O
15,B_quantity
heat,B_mep_obj
exchanger,I_mep_obj
objects,O
for 15 heat exchanger objects,sentence
mark,O
all,B_quantity
evaporator,B_mep_obj
objects,O
mark all evaporator objects,sentence
pick,O
57,B_quantity
heat,B_mep_obj
exchanger,I_mep_obj
objects,O
pick 57 heat exchanger objects,sentence
give,O
each,B_quantity
air,B_mep_obj
to,I_mep_obj
air,I_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
give each air to air heat recovery,sentence
show,O
me,O
fourteen,B_quantity
motor,B_mep_obj
connection,I_mep_obj
elements,O
show me fourteen motor connection elements,sentence
for,O
11,B_quantity
power,B_mep_obj
generator,I_mep_obj
for 11 power generator,sentence
show,O
me,O
each,B_quantity
air,B_mep_obj
to,I_mep_obj
air,I_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
show me each air to air heat recovery,sentence
mark,O
8,B_quantity
boiler,B_mep_obj
mark 8 boiler,sentence
show,O
me,O
every,B_quantity
burner,B_mep_obj
items,O
show me every burner items,sentence
show,O
11,B_quantity
evaporators,B_mep_obj
objects,O
show 11 evaporators objects,sentence
give,O
me,O
45,B_quantity
evaporator,B_mep_obj
give me 45 evaporator,sentence
pick,O
generator,B_mep_obj
pick generator,sentence
show,O
me,O
twelve,B_quantity
heat,B_mep_obj
recovery,I_mep_obj
show me twelve heat recovery,sentence
highlight,O
9,B_quantity
air,B_mep_obj
to,I_mep_obj
air,I_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
instances,O
highlight 9 air to air heat recovery instances,sentence
pick,O
eleven,B_quantity
water,B_mep_obj
boilers,I_mep_obj
pick eleven water boilers,sentence
give,O
me,O
5,B_quantity
water,B_mep_obj
boilers,I_mep_obj
items,O
give me 5 water boilers items,sentence
pick,O
74,B_quantity
evaporators,B_mep_obj
elements,O
pick 74 evaporators elements,sentence
every,B_quantity
engine,B_mep_obj
every engine,sentence
for,O
all,B_quantity
engine,B_mep_obj
instances,O
for all engine instances,sentence
select,O
11,B_quantity
water,B_mep_obj
boilers,I_mep_obj
select 11 water boilers,sentence
pick,O
5,B_quantity
burner,B_mep_obj
items,O
pick 5 burner items,sentence
pick,O
1,B_quantity
air,B_mep_obj
to,I_mep_obj
air,I_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
elements,O
pick 1 air to air heat recovery elements,sentence
find,O
me,O
seven,B_quantity
tube,B_mep_obj
bundles,I_mep_obj
find me seven tube bundles,sentence
one,B_quantity
condensers,B_mep_obj
one condensers,sentence
highlight,O
45,B_quantity
condenser,B_mep_obj
highlight 45 condenser,sentence
find,O
me,O
61,B_quantity
motor,B_mep_obj
connection,I_mep_obj
find me 61 motor connection,sentence
select,O
nine,B_quantity
cooling,B_mep_obj
towers,I_mep_obj
select nine cooling towers,sentence
highlight,O
eight,B_quantity
power,B_mep_obj
generator,I_mep_obj
objects,O
highlight eight power generator objects,sentence
show,O
five,B_quantity
electric,B_mep_obj
motor,I_mep_obj
show five electric motor,sentence
pick,O
20,B_quantity
boiler,B_mep_obj
pick 20 boiler,sentence
show,O
35,B_quantity
electric,B_mep_obj
motors,I_mep_obj
items,O
show 35 electric motors items,sentence
pick,O
twelve,B_quantity
cooling,B_mep_obj
tower,I_mep_obj
pick twelve cooling tower,sentence
show,O
five,B_quantity
cooling,B_mep_obj
tower,I_mep_obj
show five cooling tower,sentence
give,O
heat,B_mep_obj
exchanger,I_mep_obj
give heat exchanger,sentence
highlight,O
five,B_quantity
solar,B_mep_obj
devices,I_mep_obj
highlight five solar devices,sentence
give,O
me,O
every,B_quantity
heat,B_mep_obj
recovery,I_mep_obj
give me every heat recovery,sentence
show,O
74,B_quantity
coils,B_mep_obj
objects,O
show 74 coils objects,sentence
find,O
me,O
53,B_quantity
burner,B_mep_obj
find me 53 burner,sentence
pick,O
15,B_quantity
cooling,B_mep_obj
tower,I_mep_obj
pick 15 cooling tower,sentence
find,O
me,O
eight,B_quantity
humidifier,B_mep_obj
find me eight humidifier,sentence
choose,O
40,B_quantity
elements,O
of,O
coolers,B_mep_obj
choose 40 elements of coolers,sentence
four,B_quantity
exchanger,B_mep_obj
four exchanger,sentence
pick,O
1,B_quantity
condenser,B_mep_obj
pick 1 condenser,sentence
give,O
me,O
nine,B_quantity
instances,O
of,O
air-to-air,B_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
give me nine instances of air-to-air heat recovery,sentence
choose,O
every,B_quantity
solar,B_mep_obj
devices,I_mep_obj
choose every solar devices,sentence
give,O
me,O
fifteen,B_quantity
items,O
of,O
engines,B_mep_obj
give me fifteen items of engines,sentence
give,O
me,O
twelve,B_quantity
electric,B_mep_obj
generator,I_mep_obj
give me twelve electric generator,sentence
highlight,O
7,B_quantity
examples,O
of,O
evaporative,B_mep_obj
coolers,I_mep_obj
highlight 7 examples of evaporative coolers,sentence
select,O
seven,B_quantity
objects,O
of,O
heat,B_mep_obj
exchanger,I_mep_obj
select seven objects of heat exchanger,sentence
show,O
57,B_quantity
elements,O
of,O
condensers,B_mep_obj
show 57 elements of condensers,sentence
highlight,O
each,B_quantity
electric,B_mep_obj
motor,I_mep_obj
highlight each electric motor,sentence
give,O
seven,B_quantity
examples,O
of,O
power,B_mep_obj
generator,I_mep_obj
give seven examples of power generator,sentence
show,O
me,O
4,B_quantity
elements,O
of,O
evaporative,B_mep_obj
coolers,I_mep_obj
show me 4 elements of evaporative coolers,sentence
show,O
me,O
eight,B_quantity
instances,O
of,O
exchanger,B_mep_obj
show me eight instances of exchanger,sentence
give,O
me,O
12,B_quantity
elements,O
of,O
tube,B_mep_obj
bundle,I_mep_obj
give me 12 elements of tube bundle,sentence
mark,O
10,B_quantity
objects,O
of,O
generators,B_mep_obj
mark 10 objects of generators,sentence
for,O
every,B_quantity
motors,B_mep_obj
for every motors,sentence
highlight,O
six,B_quantity
solar,B_mep_obj
device,I_mep_obj
highlight six solar device,sentence
mark,O
6,B_quantity
coolers,B_mep_obj
mark 6 coolers,sentence
pick,O
eight,B_quantity
elements,O
of,O
burners,B_mep_obj
pick eight elements of burners,sentence
show,O
9,B_quantity
examples,O
of,O
humidifiers,B_mep_obj
show 9 examples of humidifiers,sentence
give,O
each,B_quantity
boilers,B_mep_obj
give each boilers,sentence
mark,O
45,B_quantity
examples,O
of,O
air-to-air,B_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
mark 45 examples of air-to-air heat recovery,sentence
highlight,O
fourteen,B_quantity
heat,B_mep_obj
recovery,I_mep_obj
highlight fourteen heat recovery,sentence
give,O
61,B_quantity
objects,O
of,O
transformer,B_mep_obj
give 61 objects of transformer,sentence
find,O
me,O
every,B_quantity
objects,O
of,O
water,B_mep_obj
boiler,I_mep_obj
find me every objects of water boiler,sentence
pick,O
elements,O
of,O
transformers,B_mep_obj
pick elements of transformers,sentence
show,O
me,O
14,B_quantity
examples,O
of,O
evaporative,B_mep_obj
cooler,I_mep_obj
show me 14 examples of evaporative cooler,sentence
give,O
two,B_quantity
items,O
of,O
boiler,B_mep_obj
give two items of boiler,sentence
highlight,O
3,B_quantity
items,O
of,O
cooling,B_mep_obj
towers,I_mep_obj
highlight 3 items of cooling towers,sentence
eleven,B_quantity
water,B_mep_obj
boilers,I_mep_obj
eleven water boilers,sentence
find,O
me,O
20,B_quantity
examples,O
of,O
engine,B_mep_obj
find me 20 examples of engine,sentence
highlight,O
twelve,B_quantity
cooling,B_mep_obj
tower,I_mep_obj
highlight twelve cooling tower,sentence
choose,O
solar,B_mep_obj
device,I_mep_obj
choose solar device,sentence
find,O
me,O
53,B_quantity
cooled,B_mep_obj
beam,I_mep_obj
find me 53 cooled beam,sentence
highlight,O
three,B_quantity
generator,B_mep_obj
highlight three generator,sentence
select,O
15,B_quantity
electric,B_mep_obj
generator,I_mep_obj
select 15 electric generator,sentence
select,O
one,B_quantity
objects,O
of,O
electric,B_mep_obj
generator,I_mep_obj
select one objects of electric generator,sentence
select,O
every,B_quantity
instances,O
of,O
motor,B_mep_obj
connection,I_mep_obj
select every instances of motor connection,sentence
find,O
eleven,B_quantity
items,O
of,O
heat,B_mep_obj
recovery,I_mep_obj
find eleven items of heat recovery,sentence
100,B_quantity
instances,O
of,O
boiler,B_mep_obj
100 instances of boiler,sentence
give,O
me,O
all,B_quantity
elements,O
of,O
cooler,B_mep_obj
give me all elements of cooler,sentence
11,B_quantity
items,O
of,O
tube,B_mep_obj
bundle,I_mep_obj
11 items of tube bundle,sentence
select,O
each,B_quantity
examples,O
of,O
condensers,B_mep_obj
select each examples of condensers,sentence
highlight,O
seven,B_quantity
objects,O
of,O
cooling,B_mep_obj
towers,I_mep_obj
highlight seven objects of cooling towers,sentence
highlight,O
six,B_quantity
heat,B_mep_obj
recovery,I_mep_obj
highlight six heat recovery,sentence
highlight,O
each,B_quantity
boiler,B_mep_obj
highlight each boiler,sentence
highlight,O
nine,B_quantity
examples,O
of,O
solar,B_mep_obj
devices,I_mep_obj
highlight nine examples of solar devices,sentence
mark,O
engines,B_mep_obj
mark engines,sentence
choose,O
61,B_quantity
items,O
of,O
heat,B_mep_obj
recovery,I_mep_obj
choose 61 items of heat recovery,sentence
show,O
me,O
11,B_quantity
cooling,B_mep_obj
tower,I_mep_obj
show me 11 cooling tower,sentence
highlight,O
53,B_quantity
instances,O
of,O
cooler,B_mep_obj
highlight 53 instances of cooler,sentence
mark,O
examples,O
of,O
air,B_mep_obj
to,I_mep_obj
air,I_mep_obj
heat,I_mep_obj
recovery,I_mep_obj
mark examples of air to air heat recovery,sentence
give,O
me,O
five,B_quantity
humidifier,B_mep_obj
give me five humidifier,sentence
pick,O
13,B_quantity
elements,O
of,O
exchanger,B_mep_obj
pick 13 elements of exchanger,sentence
show,O
me,O
5,B_quantity
instances,O
of,O
solar,B_mep_obj
device,I_mep_obj
show me 5 instances of solar device,sentence
show,O
two,B_quantity
electric,B_mep_obj
generator,I_mep_obj
show two electric generator,sentence
find,O
35,B_quantity
water,B_mep_obj
boilers,I_mep_obj
find 35 water boilers,sentence
highlight,O
3,B_quantity
burners,B_mep_obj
highlight 3 burners,sentence
select,O
11,B_quantity
heat,B_mep_obj
exchangers,I_mep_obj
select 11 heat exchangers,sentence
mark,O
three,B_quantity
cable,B_mep_obj
fitting,I_mep_obj
mark three cable fitting,sentence
mark,O
four,B_quantity
terminal,B_mep_obj
box,I_mep_obj
instances,O
mark four terminal box instances,sentence
show,O
five,B_quantity
control,B_mep_obj
element,I_mep_obj
objects,O
show five control element objects,sentence
show,O
me,O
50,B_quantity
appliance,B_mep_obj
show me 50 appliance,sentence
pick,O
seven,B_quantity
cable,B_mep_obj
fitting,I_mep_obj
pick seven cable fitting,sentence
for,O
15,B_quantity
controllers,B_mep_obj
items,O
for 15 controllers items,sentence
select,O
14,B_quantity
segment,B_mep_obj
select 14 segment,sentence
choose,O
eleven,B_quantity
cable,B_mep_obj
segment,I_mep_obj
choose eleven cable segment,sentence
for,O
lamp,B_mep_obj
for lamp,sentence
give,O
12,B_quantity
fitting,B_mep_obj
items,O
give 12 fitting items,sentence
for,O
all,B_quantity
filters,B_mep_obj
for all filters,sentence
show,O
me,O
all,B_quantity
switch,B_mep_obj
show me all switch,sentence
give,O
me,O
thirteen,B_quantity
pumps,B_mep_obj
give me thirteen pumps,sentence
fifteen,B_quantity
fittings,B_mep_obj
elements,O
fifteen fittings elements,sentence
57,B_quantity
electric,B_mep_obj
appliances,I_mep_obj
elements,O
57 electric appliances elements,sentence
highlight,O
5,B_quantity
control,B_mep_obj
element,I_mep_obj
highlight 5 control element,sentence
pick,O
electric,B_mep_obj
flow,I_mep_obj
storage,I_mep_obj
pick electric flow storage,sentence
mark,O
8,B_quantity
heater,B_mep_obj
mark 8 heater,sentence
give,O
3,B_quantity
switch,B_mep_obj
elements,O
give 3 switch elements,sentence
give,O
me,O
35,B_quantity
lamp,B_mep_obj
elements,O
give me 35 lamp elements,sentence
choose,O
eight,B_quantity
flow,B_mep_obj
storage,I_mep_obj
choose eight flow storage,sentence
highlight,O
fourteen,B_quantity
electric,B_mep_obj
distribution,I_mep_obj
board,I_mep_obj
highlight fourteen electric distribution board,sentence
pick,O
every,B_quantity
electric,B_mep_obj
appliances,I_mep_obj
pick every electric appliances,sentence
one,B_quantity
boards,B_mep_obj
elements,O
one boards elements,sentence
find,O
me,O
each,B_quantity
fire,B_mep_obj
suppression,I_mep_obj
terminal,I_mep_obj
find me each fire suppression terminal,sentence
show,O
me,O
9,B_quantity
stack,B_mep_obj
terminal,I_mep_obj
instances,O
show me 9 stack terminal instances,sentence
show,O
me,O
fifteen,B_quantity
segments,B_mep_obj
show me fifteen segments,sentence
select,O
25,B_quantity
terminal,B_mep_obj
boxes,I_mep_obj
instances,O
select 25 terminal boxes instances,sentence
choose,O
61,B_quantity
duct,B_mep_obj
fitting,I_mep_obj
instances,O
choose 61 duct fitting instances,sentence
select,O
fixtures,B_mep_obj
select fixtures,sentence
give,O
57,B_quantity
alarms,B_mep_obj
give 57 alarms,sentence
pick,O
2,B_quantity
flow,B_mep_obj
storage,I_mep_obj
objects,O
pick 2 flow storage objects,sentence
find,O
me,O
10,B_quantity
filter,B_mep_obj
elements,O
find me 10 filter elements,sentence
ten,B_quantity
cable,B_mep_obj
segment,I_mep_obj
elements,O
ten cable segment elements,sentence
give,O
boards,B_mep_obj
give boards,sentence
controllers,B_mep_obj
controllers,sentence
pick,O
each,B_quantity
space,B_mep_obj
heater,I_mep_obj
pick each space heater,sentence
show,O
eight,B_quantity
electric,B_mep_obj
outlet,I_mep_obj
show eight electric outlet,sentence
show,O
each,B_quantity
time,B_mep_obj
controller,I_mep_obj
objects,O
show each time controller objects,sentence
mark,O
each,B_quantity
segments,B_mep_obj
objects,O
mark each segments objects,sentence
show,O
1,B_quantity
flow,B_mep_obj
instrument,I_mep_obj
show 1 flow instrument,sentence
pick,O
all,B_quantity
alarm,B_mep_obj
pick all alarm,sentence
select,O
15,B_quantity
suppression,B_mep_obj
terminal,I_mep_obj
select 15 suppression terminal,sentence
pick,O
tanks,B_mep_obj
elements,O
pick tanks elements,sentence
show,O
45,B_quantity
filters,B_mep_obj
show 45 filters,sentence
mark,O
duct,B_mep_obj
silencer,I_mep_obj
mark duct silencer,sentence
show,O
eight,B_quantity
heaters,B_mep_obj
show eight heaters,sentence
give,O
50,B_quantity
sensors,B_mep_obj
give 50 sensors,sentence
give,O
50,B_quantity
outlet,B_mep_obj
instances,O
give 50 outlet instances,sentence
find,O
five,B_quantity
waste,B_mep_obj
terminal,I_mep_obj
find five waste terminal,sentence
choose,O
61,B_quantity
valve,B_mep_obj
instances,O
choose 61 valve instances,sentence
find,O
me,O
fifteen,B_quantity
interceptor,B_mep_obj
find me fifteen interceptor,sentence
pick,O
all,B_quantity
controller,B_mep_obj
objects,O
pick all controller objects,sentence
mark,O
electric,B_mep_obj
time,I_mep_obj
controller,I_mep_obj
mark electric time controller,sentence
pick,O
eight,B_quantity
air,B_mep_obj
terminal,I_mep_obj
boxes,I_mep_obj
pick eight air terminal boxes,sentence
highlight,O
4,B_quantity
fixtures,B_mep_obj
highlight 4 fixtures,sentence
choose,O
eight,B_quantity
actuator,B_mep_obj
choose eight actuator,sentence
show,O
me,O
12,B_quantity
electric,B_mep_obj
flow,I_mep_obj
storage,I_mep_obj
instances,O
show me 12 electric flow storage instances,sentence
choose,O
1,B_quantity
air,B_mep_obj
terminal,I_mep_obj
boxes,I_mep_obj
instances,O
choose 1 air terminal boxes instances,sentence
choose,O
1,B_quantity
light,B_mep_obj
fixture,I_mep_obj
objects,O
choose 1 light fixture objects,sentence
give,O
four,B_quantity
tanks,B_mep_obj
give four tanks,sentence
select,O
all,B_quantity
terminal,B_mep_obj
boxes,I_mep_obj
instances,O
select all terminal boxes instances,sentence
select,O
fifteen,B_quantity
tank,B_mep_obj
elements,O
select fifteen tank elements,sentence
highlight,O
74,B_quantity
controller,B_mep_obj
highlight 74 controller,sentence
find,O
me,O
8,B_quantity
room,B_mep_obj
heater,I_mep_obj
elements,O
find me 8 room heater elements,sentence
find,O
me,O
8,B_quantity
fire,B_mep_obj
terminal,I_mep_obj
find me 8 fire terminal,sentence
mark,O
every,B_quantity
flow,B_mep_obj
storage,I_mep_obj
mark every flow storage,sentence
show,O
every,B_quantity
heaters,B_mep_obj
show every heaters,sentence
choose,O
every,B_quantity
flow,B_mep_obj
instrument,I_mep_obj
choose every flow instrument,sentence
choose,O
one,B_quantity
fans,B_mep_obj
items,O
choose one fans items,sentence
pick,O
sensor,B_mep_obj
objects,O
pick sensor objects,sentence
find,O
me,O
61,B_quantity
appliances,B_mep_obj
find me 61 appliances,sentence
for,O
fifteen,B_quantity
segments,B_mep_obj
elements,O
for fifteen segments elements,sentence
mark,O
five,B_quantity
duct,B_mep_obj
fitting,I_mep_obj
mark five duct fitting,sentence
1,B_quantity
alarm,B_mep_obj
objects,O
1 alarm objects,sentence
pick,O
50,B_quantity
electrical,B_mep_obj
outlet,I_mep_obj
pick 50 electrical outlet,sentence
show,O
me,O
15,B_quantity
terminal,B_mep_obj
boxes,I_mep_obj
show me 15 terminal boxes,sentence
show,O
57,B_quantity
waste,B_mep_obj
terminal,I_mep_obj
show 57 waste terminal,sentence
highlight,O
14,B_quantity
protective,B_mep_obj
device,I_mep_obj
highlight 14 protective device,sentence
for,O
53,B_quantity
flow,B_mep_obj
meter,I_mep_obj
items,O
for 53 flow meter items,sentence
mark,O
10,B_quantity
appliance,B_mep_obj
mark 10 appliance,sentence
choose,O
thirteen,B_quantity
objects,O
of,O
alarm,B_mep_obj
choose thirteen objects of alarm,sentence
for,O
fifteen,B_quantity
space,B_mep_obj
heater,I_mep_obj
